baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
nopolicy,15,2,cold,0,20.434,16.430,0.000,ok,,
nopolicy,15,2,hot,1,20.420,16.430,0.000,ok,,
nopolicy,15,2,hot,2,20.457,16.430,0.000,ok,,
nopolicy,15,2,hot,3,20.418,16.211,0.000,ok,,
nopolicy,15,2,hot,4,20.419,16.430,0.000,ok,,
nopolicy,15,2,hot,5,20.220,16.211,0.000,ok,,
nopolicy,15,3,cold,0,20.421,16.430,0.000,ok,,
nopolicy,15,3,hot,1,20.483,16.211,0.000,ok,,
nopolicy,15,3,hot,2,20.338,16.430,0.000,ok,,
nopolicy,15,3,hot,3,20.376,15.992,0.000,ok,,
nopolicy,15,3,hot,4,20.424,16.211,0.000,ok,,
nopolicy,15,3,hot,5,20.419,16.430,0.000,ok,,
nopolicy,15,4,cold,0,20.407,16.430,0.000,ok,,
nopolicy,15,4,hot,1,20.408,16.211,0.000,ok,,
nopolicy,15,4,hot,2,20.406,16.211,0.000,ok,,
nopolicy,15,4,hot,3,20.393,16.430,0.219,ok,,
nopolicy,15,4,hot,4,20.406,16.211,0.000,ok,,
nopolicy,15,4,hot,5,20.405,16.430,0.000,ok,,
nopolicy,15,5,cold,0,60.966,17.961,1.969,ok,,
nopolicy,15,5,hot,1,60.804,18.180,1.969,ok,,
nopolicy,15,5,hot,2,60.857,18.180,1.750,ok,,
nopolicy,15,5,hot,3,60.790,18.617,2.406,ok,,
nopolicy,15,5,hot,4,60.712,18.180,1.969,ok,,
nopolicy,15,5,hot,5,60.988,18.180,1.750,ok,,
nopolicy,15,6,cold,0,60.832,18.180,1.969,ok,,
nopolicy,15,6,hot,1,60.609,17.961,1.750,ok,,
nopolicy,15,6,hot,2,61.000,18.180,1.969,ok,,
nopolicy,15,6,hot,3,60.970,18.180,1.750,ok,,
nopolicy,15,6,hot,4,81.210,26.711,10.500,ok,,
nopolicy,15,6,hot,5,81.109,25.617,9.406,ok,,
nopolicy,15,7,cold,0,20.340,16.211,0.000,ok,,
nopolicy,15,7,hot,1,20.226,16.430,0.000,ok,,
nopolicy,15,7,hot,2,40.512,23.211,7.000,ok,,
