db,policy_set,policy_ids,query_id,status,error_type,error_msg,hub_ms,stamp_ms,propagate_ms,bin_ms,sig_ms,sat_ms,decode_ms,filter_ms,policy_profile_query_line,policy_profile_line
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,1,,,158.445,197.307,3.626,0.309,196.877,0.629,23.290,360.956,policy_profile_query: hub_ms=158.445 stamp_ms=197.307 propagate_ms=3.626 bin_ms=0.309 sig_ms=196.877 sat_ms=0.629 decode_ms=23.290,policy_profile: filter_ms=360.956
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,1,,,156.272,198.435,3.785,0.251,192.274,0.626,22.714,0.000,policy_profile_query: hub_ms=156.272 stamp_ms=198.435 propagate_ms=3.785 bin_ms=0.251 sig_ms=192.274 sat_ms=0.626 decode_ms=22.714,policy_profile: filter_ms=0.000
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,1,,,174.984,188.791,0.861,0.312,198.197,1.011,21.136,79.993,policy_profile_query: hub_ms=174.984 stamp_ms=188.791 propagate_ms=0.861 bin_ms=0.312 sig_ms=198.197 sat_ms=1.011 decode_ms=21.136,policy_profile: filter_ms=79.993
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,1,,,161.451,189.270,1.241,0.270,196.125,0.841,21.721,0.000,policy_profile_query: hub_ms=161.451 stamp_ms=189.270 propagate_ms=1.241 bin_ms=0.270 sig_ms=196.125 sat_ms=0.841 decode_ms=21.721,policy_profile: filter_ms=0.000
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,1,,,22.995,1.322,0.130,0.002,1.842,0.073,1.104,45.132,policy_profile_query: hub_ms=22.995 stamp_ms=1.322 propagate_ms=0.130 bin_ms=0.002 sig_ms=1.842 sat_ms=0.073 decode_ms=1.104,policy_profile: filter_ms=45.132
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,1,,,28.250,8.147,0.142,0.000,20.231,0.083,3.114,0.018,policy_profile_query: hub_ms=28.250 stamp_ms=8.147 propagate_ms=0.142 bin_ms=0.000 sig_ms=20.231 sat_ms=0.083 decode_ms=3.114,policy_profile: filter_ms=0.018
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,1,,,27.713,8.181,0.140,0.000,21.003,0.077,3.018,0.018,policy_profile_query: hub_ms=27.713 stamp_ms=8.181 propagate_ms=0.140 bin_ms=0.000 sig_ms=21.003 sat_ms=0.077 decode_ms=3.018,policy_profile: filter_ms=0.018
tpch1,S_A,"1,2,3,4,5",1,1,,,11.913,17.334,0.001,5.892,818.334,0.944,161.187,488.609,policy_profile_query: hub_ms=11.913 stamp_ms=17.334 propagate_ms=0.001 bin_ms=5.892 sig_ms=818.334 sat_ms=0.944 decode_ms=161.187,policy_profile: filter_ms=488.609
tpch1,S_A,"1,2,3,4,5",3,1,,,11.906,17.329,0.000,5.475,817.507,0.974,161.403,358.828,policy_profile_query: hub_ms=11.906 stamp_ms=17.329 propagate_ms=0.000 bin_ms=5.475 sig_ms=817.507 sat_ms=0.974 decode_ms=161.403,policy_profile: filter_ms=358.828
tpch1,S_A,"1,2,3,4,5",6,1,,,170.991,3.292,0.001,5.560,820.082,0.961,147.237,375.917,policy_profile_query: hub_ms=170.991 stamp_ms=3.292 propagate_ms=0.001 bin_ms=5.560 sig_ms=820.082 sat_ms=0.961 decode_ms=147.237,policy_profile: filter_ms=375.917
